City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
190,Verkhnevilyuysk,RU,2022-09-15 15:18:35,63.4453,120.3167,32.58,84,14,3.15,few clouds
191,Atlantic City,US,2022-09-15 15:15:52,39.3643,-74.4229,75.02,56,20,13.8,few clouds
192,Carnarvon,AU,2022-09-15 15:18:35,-24.8667,113.6333,65.35,69,100,23.26,overcast clouds
193,Golyshmanovo,RU,2022-09-15 15:18:36,56.3979,68.3728,51.96,55,9,7.83,clear sky
194,Saravan,AM,2022-09-15 15:18:36,39.7196,45.6483,62.96,26,81,2.26,broken clouds
195,Hualmay,PE,2022-09-15 15:18:36,-11.0964,-77.6139,64.13,71,76,6.58,broken clouds
196,Upata,VE,2022-09-15 15:18:37,8.0086,-62.3989,84.2,60,37,4.74,scattered clouds
197,Lahad Datu,MY,2022-09-15 15:18:37,5.0268,118.327,73.08,91,100,4.05,overcast clouds
198,Puerto Ayora,EC,2022-09-15 15:18:38,-0.7393,-90.3518,69.76,92,98,5.99,overcast clouds
199,Takapau,NZ,2022-09-15 15:18:38,-40.0333,176.35,44.73,92,2,4.45,clear sky
200,Grand-Santi,GF,2022-09-15 15:18:38,4.25,-54.3833,92.59,43,29,4.27,scattered clouds
201,Ellisras,ZA,2022-09-15 15:18:39,-23.6649,27.7443,84.34,16,1,8.03,clear sky
202,Lebu,CL,2022-09-15 15:18:39,-37.6167,-73.65,57.22,76,100,12.44,overcast clouds
203,Cabo San Lucas,MX,2022-09-15 15:18:39,22.8909,-109.9124,87.06,76,0,4.61,clear sky
204,Gizo,SB,2022-09-15 15:18:40,-8.103,156.8419,80.89,78,23,7.14,light rain
205,Srivardhan,IN,2022-09-15 15:18:40,18.0333,73.0167,79.25,87,100,17.13,overcast clouds
206,Saint-Philippe,RE,2022-09-15 15:18:41,-21.3585,55.7679,71.19,81,33,14.05,scattered clouds
207,Pingdingshan,CN,2022-09-15 15:18:41,33.7385,113.3012,72.18,68,0,3.85,clear sky
208,Pavino,RU,2022-09-15 15:18:41,59.1139,46.1414,46.81,97,100,7.45,overcast clouds
209,Torbay,CA,2022-09-15 15:18:11,47.6666,-52.7314,68.29,91,100,18.41,overcast clouds
210,Chuy,UY,2022-09-15 15:18:42,-33.6971,-53.4616,63.01,69,46,8.34,scattered clouds
211,Souillac,MU,2022-09-15 15:18:43,-20.5167,57.5167,71.98,73,40,13.8,light rain
212,Haapiti,PF,2022-09-15 15:18:43,-17.5667,-149.8667,74.93,73,79,22.3,light rain
213,Kyra,RU,2022-09-15 15:18:44,49.5776,111.9753,51.08,86,99,3.31,overcast clouds
214,Tuatapere,NZ,2022-09-15 15:18:44,-46.1333,167.6833,44.76,80,100,10.67,overcast clouds
215,Hambantota,LK,2022-09-15 15:18:44,6.1241,81.1185,80.08,79,52,16.37,broken clouds
216,San Quintin,MX,2022-09-15 15:18:45,30.4833,-115.95,68.2,80,99,12.17,overcast clouds
217,Trincomalee,LK,2022-09-15 15:15:23,8.5711,81.2335,82.9,74,12,8.37,few clouds
218,Ayagoz,KZ,2022-09-15 15:18:45,47.9714,80.4392,46.4,38,11,12.62,few clouds
219,Caravelas,BR,2022-09-15 15:18:46,-17.7125,-39.2481,80.6,61,98,8.21,overcast clouds
220,Katobu,ID,2022-09-15 15:18:46,-4.9408,122.5276,72.39,91,60,2.24,broken clouds
221,Alihe,CN,2022-09-15 15:18:47,50.5667,123.7167,47.28,77,19,2.71,few clouds
222,Mokhsogollokh,RU,2022-09-15 15:18:47,61.4681,128.9203,41.4,89,100,4.99,overcast clouds
223,Mar Del Plata,AR,2022-09-15 15:17:30,-38.0023,-57.5575,64.42,68,0,17.27,clear sky
224,Kumluca,TR,2022-09-15 15:18:48,36.3703,30.2869,83.34,52,0,6.82,clear sky
225,Beohari,IN,2022-09-15 15:18:49,24.05,81.3833,75.22,94,100,8.86,overcast clouds
226,Manggar,ID,2022-09-15 15:18:49,-2.8833,108.2667,81.07,81,53,9.55,broken clouds
227,Shimoda,JP,2022-09-15 15:18:49,34.6667,138.95,70.11,78,100,10.69,overcast clouds
228,Cockburn Town,TC,2022-09-15 15:18:50,21.4612,-71.1419,83.97,68,100,17.45,overcast clouds
229,Santiago,CL,2022-09-15 15:18:43,-33.4569,-70.6483,74.28,31,0,3.44,clear sky
230,Gulabpura,IN,2022-09-15 15:18:51,25.9,74.6667,81.61,76,74,4.03,broken clouds
231,Karratha,AU,2022-09-15 15:18:51,-20.7377,116.8463,73.08,45,0,9.1,clear sky
232,Lucapa,AO,2022-09-15 15:18:51,-8.4192,20.7447,83.75,43,69,8.43,broken clouds
233,Shache,CN,2022-09-15 15:18:52,38.4167,77.2406,80.2,16,100,6.73,overcast clouds
234,Bengkulu,ID,2022-09-15 15:18:52,-3.8004,102.2655,76.37,89,49,4.47,scattered clouds
235,Lovozero,RU,2022-09-15 15:18:53,68.005,35.0117,50.16,86,100,15.19,light rain
236,Roald,NO,2022-09-15 15:18:53,62.5833,6.1333,53.33,93,75,6.91,light intensity drizzle rain
237,Khatanga,RU,2022-09-15 15:18:54,71.9667,102.5,32.07,96,100,6.98,overcast clouds
238,Sao Joao Da Barra,BR,2022-09-15 15:18:54,-21.6403,-41.0511,78.89,75,57,11.83,broken clouds
239,Leh,IN,2022-09-15 15:18:55,34.1667,77.5833,62.17,26,13,5.86,few clouds
240,Sitka,US,2022-09-15 15:18:55,57.0531,-135.33,48.96,90,22,4.47,few clouds
241,Aksu,CN,2022-09-15 15:18:55,41.1231,80.2644,77.07,21,0,7.0,clear sky
242,Avera,US,2022-09-15 15:18:56,33.194,-82.5271,77.56,47,0,10.69,clear sky
243,Pacific Grove,US,2022-09-15 15:15:01,36.6177,-121.9166,58.41,93,100,3.0,fog
244,Guaruja,BR,2022-09-15 15:18:56,-23.9931,-46.2564,66.06,40,100,3.44,mist
245,Eureka,US,2022-09-15 15:18:57,40.8021,-124.1637,56.68,92,69,1.99,broken clouds
246,Ahipara,NZ,2022-09-15 15:18:57,-35.1667,173.1667,50.59,71,41,7.47,scattered clouds
247,Cherbourg,FR,2022-09-15 15:18:57,49.6386,-1.6147,63.41,67,75,8.05,broken clouds
248,Leningradskiy,RU,2022-09-15 15:18:58,69.3833,178.4167,35.55,98,100,4.32,overcast clouds
249,Hamilton,US,2022-09-15 15:18:58,39.1834,-84.5333,77.43,75,20,1.01,few clouds
250,Linkoping,SE,2022-09-15 15:18:58,58.4109,15.6216,57.18,70,75,19.57,light rain
251,Brae,GB,2022-09-15 15:18:59,60.3964,-1.353,50.2,63,98,25.79,overcast clouds
252,Vysokopillya,UA,2022-09-15 15:18:59,47.4919,33.5306,71.6,59,100,17.07,light rain
253,Juntas,CR,2022-09-15 15:19:00,10.2809,-84.9595,82.62,77,93,2.53,overcast clouds
254,Katsuura,JP,2022-09-15 15:19:00,35.1333,140.3,73.81,71,100,8.08,overcast clouds
255,Khash,IR,2022-09-15 15:19:00,28.2211,61.2158,83.03,9,0,14.52,clear sky
256,Codrington,AU,2022-09-15 15:19:01,-38.2667,141.9667,49.26,81,100,11.03,overcast clouds
257,Asau,RO,2022-09-15 15:19:01,46.4333,26.4,74.32,65,99,11.74,overcast clouds
258,Nemuro,JP,2022-09-15 15:19:02,43.3236,145.575,61.81,62,100,3.62,overcast clouds
259,Cayenne,GF,2022-09-15 15:19:02,4.9333,-52.3333,91.44,55,75,8.05,broken clouds
